date,iso_code,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,weekly_hosp_admissions_per_million
2020-01-03,DEU,,,
2020-01-04,DEU,,,
2020-01-05,DEU,,,
2020-01-06,DEU,,,
2020-01-07,DEU,,,
2020-01-08,DEU,0.002,0.0,
2020-01-09,DEU,0.002,0.0,
2020-01-10,DEU,0.002,0.0,
2020-01-11,DEU,0.0,0.0,
2020-01-12,DEU,0.0,0.0,
2020-01-13,DEU,0.0,0.0,
2020-01-14,DEU,0.0,0.0,
2020-01-15,DEU,0.0,0.0,
2020-01-16,DEU,0.0,0.0,
2020-01-17,DEU,0.0,0.0,
2020-01-18,DEU,0.0,0.0,
2020-01-19,DEU,0.0,0.0,
2020-01-20,DEU,0.0,0.0,
2020-01-21,DEU,0.0,0.0,
2020-01-22,DEU,0.0,0.0,
2020-01-23,DEU,0.0,0.0,
2020-01-24,DEU,0.002,0.0,
2020-01-25,DEU,0.002,0.0,
2020-01-26,DEU,0.002,0.0,
2020-01-27,DEU,0.002,0.0,
2020-01-28,DEU,0.002,0.0,
2020-01-29,DEU,0.005,0.0,
2020-01-30,DEU,0.009,0.0,
2020-01-31,DEU,0.007,0.0,
2020-02-01,DEU,0.014,0.0,
2020-02-02,DEU,0.015,0.0,
2020-02-03,DEU,0.015,0.0,
2020-02-04,DEU,0.017,0.0,
2020-02-05,DEU,0.021,0.0,
2020-02-06,DEU,0.021,0.0,
2020-02-07,DEU,0.022,0.0,
2020-02-08,DEU,0.017,0.0,
2020-02-09,DEU,0.015,0.0,
2020-02-10,DEU,0.015,0.0,
2020-02-11,DEU,0.015,0.0,
2020-02-12,DEU,0.012,0.0,
2020-02-13,DEU,0.01,0.0,
2020-02-14,DEU,0.009,0.0,
2020-02-15,DEU,0.007,0.0,
2020-02-16,DEU,0.009,0.0,
2020-02-17,DEU,0.009,0.0,
2020-02-18,DEU,0.01,0.0,
2020-02-19,DEU,0.009,0.0,
2020-02-20,DEU,0.009,0.0,
2020-02-21,DEU,0.012,0.002,
2020-02-22,DEU,0.012,0.002,
2020-02-23,DEU,0.01,0.002,
2020-02-24,DEU,0.01,0.002,
2020-02-25,DEU,0.009,0.002,
2020-02-26,DEU,0.012,0.002,
2020-02-27,DEU,0.024,0.002,
2020-02-28,DEU,0.062,0.0,
2020-02-29,DEU,0.139,0.0,
2020-03-01,DEU,0.178,0.0,0.288
2020-03-02,DEU,0.238,0.0,0.348
2020-03-03,DEU,0.31,0.0,0.564
2020-03-04,DEU,0.451,0.0,0.792
2020-03-05,DEU,0.706,0.003,0.948
2020-03-06,DEU,0.984,0.005,1.128
2020-03-07,DEU,1.225,0.012,1.619
2020-03-08,DEU,1.429,0.019,1.811
2020-03-09,DEU,1.551,0.021,1.943
2020-03-10,DEU,2.073,0.033,2.207
2020-03-11,DEU,2.947,0.039,2.675
2020-03-12,DEU,3.977,0.053,3.167
2020-03-13,DEU,5.355,0.072,3.874
2020-03-14,DEU,7.548,0.093,4.762
2020-03-15,DEU,9.538,0.12,5.458
2020-03-16,DEU,11.035,0.144,6.345
2020-03-17,DEU,13.931,0.192,8.276
2020-03-18,DEU,18.115,0.26,10.327
2020-03-19,DEU,22.994,0.351,13.566
2020-03-20,DEU,28.236,0.442,16.841
2020-03-21,DEU,32.674,0.579,20.283
2020-03-22,DEU,36.192,0.708,24.217
2020-03-23,DEU,38.393,0.821,26.808
2020-03-24,DEU,41.296,0.984,30.431
2020-03-25,DEU,44.453,1.194,36.008
2020-03-26,DEU,48.013,1.46,41.898
2020-03-27,DEU,51.188,1.806,47.775
2020-03-28,DEU,54.489,2.094,53.617
2020-03-29,DEU,56.829,2.354,58.402
2020-03-30,DEU,58.226,2.5,61.785
2020-03-31,DEU,58.91,2.735,65.767
2020-04-01,DEU,60.933,3.107,70.889
2020-04-02,DEU,61.927,3.377,73.552
2020-04-03,DEU,63.036,3.64,75.111
2020-04-04,DEU,63.387,3.869,76.227
2020-04-05,DEU,62.734,3.867,74.835
2020-04-06,DEU,61.802,3.895,73.264
2020-04-07,DEU,61.0,3.936,72.412
2020-04-08,DEU,59.506,3.859,69.426
2020-04-09,DEU,57.822,3.802,67.518
2020-04-10,DEU,55.023,3.641,65.419
2020-04-11,DEU,50.164,3.314,59.806
2020-04-12,DEU,47.66,3.237,57.719
2020-04-13,DEU,46.516,3.216,56.951
2020-04-14,DEU,42.981,3.0,52.429
2020-04-15,DEU,38.32,2.795,48.903
2020-04-16,DEU,34.972,2.606,46.456
2020-04-17,DEU,32.406,2.377,43.901
2020-04-18,DEU,31.889,2.32,43.829
2020-04-19,DEU,30.566,2.192,42.162
2020-04-20,DEU,29.723,2.103,40.71
2020-04-21,DEU,29.913,2.077,41.106
2020-04-22,DEU,29.428,1.943,38.983
2020-04-23,DEU,27.994,1.758,36.044
2020-04-24,DEU,25.72,1.63,32.806
2020-04-25,DEU,23.758,1.475,30.347
2020-04-26,DEU,22.326,1.397,28.643
2020-04-27,DEU,21.164,1.246,26.832
2020-04-28,DEU,20.143,1.119,24.685
2020-04-29,DEU,18.923,1.018,23.594
2020-04-30,DEU,17.105,0.903,21.231
2020-05-01,DEU,16.028,0.824,20.559
2020-05-02,DEU,14.339,0.764,18.508
2020-05-03,DEU,13.223,0.689,16.973
2020-05-04,DEU,12.752,0.665,16.397
2020-05-05,DEU,12.091,0.605,15.485
2020-05-06,DEU,11.441,0.541,14.298
2020-05-07,DEU,11.083,0.511,13.962
